Iraw[0;1] R It 
0.85785 1.29539 52.73802
0.85607 1.29588 53.25850
0.85528 1.29634 53.74885
0.85442 1.29680 54.22573
0.85217 1.29730 54.74578
0.85111 1.29778 55.24680
0.85066 1.29827 55.74732
0.84949 1.29874 56.22926
0.84778 1.29925 56.75308
0.84654 1.29978 57.27989
0.84654 1.30024 57.73898
0.84436 1.30074 58.24789
0.84310 1.30123 58.73277
0.84167 1.30175 59.24512
0.84013 1.30228 59.76936
0.83866 1.30278 60.26278
0.83633 1.30332 60.78749
0.83509 1.30378 61.23249
0.83427 1.30432 61.74949
0.83135 1.30482 62.23237
0.83011 1.30535 62.74256
0.82931 1.30589 63.25088
0.82589 1.30640 63.73831
0.82606 1.30696 64.25942
0.82226 1.30750 64.77590
0.81999 1.30800 65.23838
0.81884 1.30856 65.75521
0.81732 1.30909 66.24990
0.81481 1.30965 66.76572
0.81221 1.31016 67.23105
0.81222 1.31072 67.74540
0.80833 1.31125 68.22559
0.80708 1.31181 68.72887
0.80394 1.31238 69.24633
0.80336 1.31293 69.74176
0.80172 1.31347 70.22298
0.80008 1.31405 70.73885
0.79779 1.31465 71.27218
0.79325 1.31518 71.73706
0.79137 1.31577 72.25812
0.79145 1.31631 72.73759
0.79103 1.31692 73.26384
0.78813 1.31751 73.78152
0.78453 1.31807 74.27137
0.78646 1.31859 74.72193
0.78225 1.31916 75.21935
0.78160 1.31976 75.73645
0.78091 1.32037 76.26395
0.78062 1.32093 76.74623
0.89025 1.35731 0.81565
0.88901 1.35772 1.27809
0.88818 1.35772 1.77652
0.89152 1.35778 2.43839
0.89043 1.35779 2.78846
0.88978 1.35781 3.27124
0.88936 1.35785 3.74690
0.88898 1.35788 4.25349
0.88952 1.35794 4.73383
0.89006 1.35801 5.31165
0.88975 1.35804 5.73972
0.88896 1.35810 6.23634
0.88882 1.35817 6.73423
0.88818 1.35824 7.24164
0.88890 1.35831 7.66516
0.88872 1.35840 8.19666
0.88911 1.35851 8.82986
0.88798 1.35858 9.24529
0.88760 1.35867 9.72458
0.88706 1.35878 10.26259
0.88679 1.35887 10.74061
0.88659 1.35900 11.26932
0.88416 1.35908 11.70718
0.88647 1.35922 12.23130
0.88477 1.35935 12.77432
0.88562 1.35949 13.29071
0.88397 1.35961 13.76045
0.88391 1.35976 14.27672
0.88368 1.35988 14.70135
0.88316 1.36004 15.21672
0.88324 1.36021 15.75504
0.88219 1.36037 16.26460
0.88245 1.36053 16.74598
0.88154 1.36070 17.24469
0.88113 1.36088 17.76062
0.87995 1.36104 18.22935
0.88022 1.36123 18.74301
0.87952 1.36144 19.28623
0.87950 1.36162 19.75132
0.87920 1.36182 20.25281
0.87917 1.36203 20.76350
0.87773 1.36224 21.28014
0.87761 1.36244 21.74080
0.87725 1.36267 22.27389
0.87741 1.36289 22.76822
0.87591 1.36311 23.25159
0.87527 1.36333 23.72788
0.87500 1.36358 24.24108
0.87375 1.36382 24.76077
0.87413 1.36406 25.24932
0.87351 1.36432 25.76430
0.87296 1.36457 26.26672
0.87301 1.36482 26.74126
0.87160 1.36509 27.25366
0.87196 1.36536 27.75425
0.87102 1.36563 28.25245
0.87007 1.36591 28.75163
0.86958 1.36619 29.25658
0.86886 1.36648 29.76230
0.86871 1.36677 30.24590
0.86833 1.36706 30.74455
0.86779 1.36738 31.26783
0.86692 1.36766 31.73056
0.86673 1.36798 32.24477
0.86595 1.36830 32.75912
0.86568 1.36862 33.26370
0.86538 1.36894 33.75838
0.86418 1.36926 34.25317
0.86321 1.36958 34.74073
0.86303 1.36993 35.24668
0.86218 1.37025 35.73070
0.86146 1.37060 36.24064
0.86068 1.37096 36.75439
0.86044 1.37131 37.24721
0.85912 1.37168 37.77364
0.85915 1.37203 38.26407
0.85756 1.37239 38.76361
0.85819 1.37273 39.22253
0.85695 1.37309 39.71418
0.85656 1.37349 40.24255
0.85522 1.37388 40.75448
0.85413 1.37428 41.27485
0.85315 1.37467 41.77772
0.85245 1.37502 42.23778
0.85081 1.37544 42.76602
0.85114 1.37582 43.24830
0.84933 1.37622 43.74730
0.84816 1.37662 44.23895
0.84703 1.37703 44.73873
0.84621 1.37745 45.24351
0.84515 1.37787 45.75529
0.84365 1.37830 46.26551
0.84309 1.37872 46.75984
0.84210 1.37913 47.23123
0.84115 1.37956 47.73089
0.83931 1.38000 48.24086
0.83913 1.38044 48.74322
0.83748 1.38089 49.24111
0.83650 1.38133 49.74101
0.83572 1.38178 50.24078
0.83427 1.38222 50.73128
0.83238 1.38270 51.25195
0.83174 1.38314 51.72827
0.83084 1.38363 52.24860
0.82912 1.38409 52.74499
0.82932 1.38457 53.24793
0.82786 1.38506 53.77066
0.82620 1.38550 54.22613
0.82502 1.38601 54.76502
0.82336 1.38651 55.27504
0.82169 1.38696 55.73414
0.82163 1.38744 56.22911
0.81948 1.38797 56.77427
0.81726 1.38846 57.25912
0.81690 1.38894 57.74019
0.81586 1.38944 58.23780
0.81344 1.38996 58.76572
0.81204 1.39046 59.24792
0.81035 1.39096 59.74741
0.80902 1.39145 60.22493
0.80758 1.39198 60.74094
0.80566 1.39252 61.25740
0.80292 1.39303 61.75391
0.80139 1.39355 62.25158
0.79871 1.39409 62.77120
0.79670 1.39460 63.25395
0.79588 1.39512 63.74282
0.79384 1.39566 64.24766
0.78921 1.39621 64.76751
0.78699 1.39673 65.25001
0.78778 1.39724 65.72677
0.78426 1.39782 66.25761
0.78339 1.39837 66.76481
0.77764 1.39888 67.23328
0.77758 1.39945 67.75043
0.77457 1.40000 68.25253
0.77132 1.40053 68.72698
0.77291 1.40110 69.23504
0.76491 1.40168 69.75527
0.76574 1.40225 70.26091
0.76189 1.40279 70.74711
0.76216 1.40335 71.23811
0.76009 1.40395 71.77362
0.75822 1.40459 72.33326
0.75704 1.40505 72.73569
0.75846 1.40569 73.30055
0.75619 1.40612 73.67139
0.88989 1.48364 0.81036
0.88794 1.48379 4.32916
0.88745 1.48386 4.57582
0.88965 1.48393 5.33935
0.88452 1.48400 5.83613
0.88810 1.48403 6.32691
0.88782 1.48413 6.85801
0.88875 1.48418 7.25883
0.88836 1.48426 7.85885
0.88806 1.48432 8.27092
0.88869 1.48442 8.77760
0.88818 1.48451 9.26722
