I R cos(alpha)
0.72262 24.09257 0.45710
0.70750 24.09736 0.38806
0.69556 24.10184 0.32374
0.80273 24.54826 0.99897
0.80347 24.54899 0.98844
0.80308 24.55006 0.97294
0.80161 24.55158 0.95098
0.79727 24.55354 0.92278
0.79360 24.55624 0.88386
0.78943 24.55938 0.83858
0.78145 24.56247 0.79388
0.77532 24.56661 0.73415
0.76632 24.57087 0.67285
0.75623 24.57535 0.60833
0.74513 24.58019 0.53860
0.72847 24.58521 0.46628
0.71088 24.59114 0.38080
0.70365 24.59597 0.31137
0.68726 24.60482 0.18386
0.80640 25.05293 0.99835
0.80249 25.05339 0.99175
0.80389 25.05462 0.97394
0.80255 25.05633 0.94937
0.79888 25.05820 0.92228
0.79504 25.06058 0.88808
0.78955 25.06330 0.84883
0.78408 25.06702 0.79518
0.77424 25.07126 0.73405
0.76572 25.07544 0.67377
0.75438 25.08057 0.59986
0.73890 25.08511 0.53440
0.72541 25.09045 0.45744
0.72114 25.09355 0.41289
0.80542 25.56840 0.99999
0.80333 25.56903 0.99083
0.80151 25.56991 0.97820
0.79810 25.57178 0.95121
0.79883 25.57365 0.92433
0.79400 25.57624 0.88686
0.78843 25.57927 0.84325
0.78169 25.58294 0.79025
0.77411 25.58631 0.74163
0.76430 25.59119 0.67132
0.75435 25.59524 0.61290
0.74203 25.60021 0.54134
0.72910 25.60553 0.46464
0.71418 25.61193 0.37251
0.70428 25.61777 0.28849
0.69385 25.62330 0.20881
0.80396 26.05474 0.99990
0.80176 26.05549 0.98921
0.80430 26.05649 0.97474
0.80146 26.05813 0.95107
0.79858 26.05979 0.92716
0.79370 26.06240 0.88961
0.78804 26.06555 0.84413
0.78231 26.06906 0.79350
0.77346 26.07306 0.73582
0.76317 26.07747 0.67223
0.74995 26.08199 0.60706
0.74131 26.08649 0.54231
0.72146 26.09163 0.46821
0.80371 26.56671 0.99941
0.80664 26.56741 0.98931
0.80420 26.56843 0.97453
0.80084 26.56958 0.95790
0.79572 26.57215 0.92081
0.79147 26.57458 0.88585
0.78885 26.57756 0.84277
0.78013 26.58066 0.79810
0.77214 26.58492 0.73670
0.76366 26.58880 0.68071
0.75083 26.59392 0.60697
0.73504 26.59884 0.53609
0.72399 26.60381 0.46466
0.71712 26.60820 0.40118
0.70679 26.61601 0.28841
0.80298 27.06180 0.99894
0.80220 27.06235 0.99089
0.80386 27.06352 0.97416
0.79895 27.06501 0.95256
0.79583 27.06690 0.92530
0.79172 27.06948 0.88806
0.78607 27.07274 0.84121
0.77999 27.07593 0.79518
0.77105 27.07977 0.73980
0.76085 27.08412 0.67711
0.75245 27.08810 0.61977
0.73618 27.09383 0.53710
0.71524 27.09881 0.46537
0.70801 27.10329 0.40105
0.71037 27.10841 0.32731
0.80542 27.57506 0.99990
0.80786 27.57573 0.99030
0.80713 27.57682 0.97450
0.80310 27.57835 0.95247
0.79878 27.58031 0.92422
0.79474 27.58303 0.88491
0.78946 27.58591 0.84341
0.78323 27.58949 0.79191
0.77492 27.59332 0.73665
0.76536 27.59765 0.67421
0.75385 27.60264 0.60234
0.73894 27.60735 0.53442
0.72314 27.61289 0.45467
0.71094 27.61721 0.39228
0.70630 27.62633 0.26108
0.69800 27.63175 0.18313
0.80737 28.07143 0.99990
0.80737 28.07175 0.99546
0.80728 28.07343 0.97115
0.80338 28.07478 0.95177
0.79727 28.07711 0.91814
0.79290 28.07937 0.88547
0.78709 28.08207 0.84664
0.78047 28.08578 0.79309
0.77254 28.08968 0.73680
0.76321 28.09396 0.67527
0.75500 28.09829 0.61287
0.74325 28.10341 0.53909
0.72646 28.10855 0.46496
0.71205 28.11355 0.39301
0.70874 28.11782 0.33158
0.71118 28.12415 0.24044
0.80884 28.57048 0.99936
0.80835 28.57126 0.98816
0.80623 28.57208 0.97627
0.80287 28.57344 0.95668
0.79806 28.57553 0.92650
0.79204 28.57834 0.88606
0.78878 28.58163 0.83859
0.78125 28.58475 0.79367
0.76980 28.58908 0.73116
0.76324 28.59352 0.66724
0.75116 28.59724 0.61359
0.73611 28.60254 0.53732
0.72305 28.60677 0.47644
0.80273 29.07162 0.99829
0.80518 29.07206 0.99196
0.80237 29.07308 0.97713
0.80115 29.07466 0.95447
0.79725 29.07691 0.92199
0.79346 29.07958 0.88346
0.79004 29.08232 0.84397
0.78152 29.08605 0.79025
0.77524 29.08952 0.74026
0.76465 29.09406 0.67473
0.75621 29.09807 0.61688
0.74118 29.10429 0.52740
0.72561 29.11463 0.45550
0.72331 29.11302 0.40160
0.70728 29.11805 0.32926
0.71362 29.12598 0.21529
0.79810 29.57626 0.99990
0.80444 29.57679 0.99243
0.80994 29.57755 0.98139
0.80269 29.57949 0.95342
0.79796 29.58157 0.92352
0.79416 29.58397 0.88881
0.78660 29.58747 0.83828
0.78365 29.59017 0.79953
0.77522 29.59468 0.73455
0.76489 29.59849 0.67944
0.75261 29.60346 0.60788
0.73619 29.60807 0.54145
0.72437 29.61352 0.46317
0.80688 30.07013 0.99923
0.80713 30.07089 0.98831
0.80430 30.07171 0.97654
0.80305 30.07347 0.95110
0.79699 30.07537 0.92380
0.79318 30.07838 0.88033
0.78913 30.08067 0.84738
0.78111 30.08433 0.79461
0.77240 30.08792 0.74281
0.76389 30.09264 0.67478
0.75339 30.09708 0.61085
0.73525 30.10252 0.53229
0.72840 30.10685 0.47007
0.71411 30.11383 0.36938
0.71069 30.11746 0.31739
0.71216 30.12279 0.24066
0.80859 30.58970 0.99840
0.80591 30.59059 0.98547
0.80387 30.59122 0.97644
0.80333 30.59292 0.95200
0.79673 30.59478 0.92505
0.79324 30.59733 0.88844
0.78679 30.60080 0.83846
0.77928 30.60404 0.79160
0.77417 30.60718 0.74637
0.76403 30.61245 0.67040
0.74957 30.61694 0.60569
0.73750 30.62170 0.53712
0.72437 30.62625 0.47150
